full_name,body_anonymized,is_resolvable,Yes Count,Total Count,Resolvable %,,Structured Resolvable,Unstructured
grahamearley/firestoregoogleappsscript,"
<!--
Thank you for filing an issue to make <|Repo_Name|> better.
Please fill in as much of the template below as you're able.
-->

## Is your feature request related to a problem?
<!-- Describe the problem you are trying to solve. -->


## Describe the solution you'd like
<!-- Describe the desired behavior, and include code samples and other documentation. -->


## Describe alternatives you've considered
<!-- Describe alternative solutions or features you have considered. -->


## Additional context
<!-- Add any other context or screenshots about the feature request here. -->
",No,,,,,,
openc3/openc3,"
First check out our main documentation site at [<|URL|>](<|URL|>).

**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen. Describing how the feature would work in the context of the <|Repo_Name|> Demo configuration is helpful.

**Additional context**
Add any other context or screenshots about the feature request here.
",No,,,,,,
mycatapache/mycat-server,"
**问题描述**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**描述您想要的结果及解决方案**
A clear and concise description of what you want to happen.

**额外内容**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
dotnet/roslyn-analyzers,"
<!-- Please refer to <|URL|> -->

### Describe the problem you are trying to solve

<!-- A clear and concise description of what you want to the rule to prevent. -->

### Describe suggestions on how to achieve the rule

<!-- A clear description to how to achieve the rule. Suggest how a code-fix could automatically fix the issue/problem -->

### Additional context

<!-- Add any other context or screenshots about the rule request here. -->
",Yes,,,,,,
autopas/autopas,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Build environment (please complete the following information):**
* OS: (e.g. Linux, Windows)
* Compiler: (e.g. gcc 6, icc 2017, clang)
* Build System: (e.g. Make, ninja)

**Additional context**
Add any other context about the problem here.
",No,,,,,,
spoonx/wetland,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:

[Include code or an example repository that can easily be set up]

**Expected behavior**
A clear and concise description of what you expected to happen.

**Snapshots**
If applicable, add snapshots to help explain your problem.

**Environment (please complete the following information):**
- Node.js version: [e.g. 8.11.3]
- Adapter: [e.g. MySQL or PostgreSQL]
- Version [e.g. 3.1.0]


**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
go-task/task,"
> Describe in detail what feature do you want to see in <|Repo_Name|>.
> Give examples if possible.
>
> Please, search if this wasn't proposed before, and if this is more like an idea
> than a strong feature request, consider opening a
> [discussion](<|URL|>) instead.
",No,,,,,,
typescript-cheatsheets/react,"
**What cheatsheet is this about? (if applicable)**

HOC cheatsheet

**What's your issue or idea?**

_Write here_
",Yes,,,,,,
cdcgov/prime-reportstream,"
### What You Need to Know

- [ ] Terms of Service agreement signed
- [ ] Kickoff meeting completed
- [ ] Receiver intake form completed: [paste info below this]

### To Do

- [ ] create individual tickets for this epic
- [ ] RS team member who originates this ticket: add any dependencies, as needed
- [ ] RS team member who originates this ticket: complete the following when creating this Issue.
- [ ] Pipelines: Onboarding & Operations (New)
- [ ] Labels: ""Onboarding-ops"" and ""Receiver""
- [ ] Epics: [select the epic for this receiver we're onboarding]
",No,,,,,,
redox-os/orbtk,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",No,,,,,,
tangcent/easy-yapi,"
**Describe the question**

A clear and concise description of what the question is.

**Expected result**

A clear and concise description of what you expected to get.

**Screenshots**

If applicable, add screenshots to help explain your problem.

**Demo Code**

1. Fork <|URL|>
2. Write some code
3. Now paste the forked repository hear: <|URL|>

**Additional context**

Add any other context about the problem here.
",No,,,,,,
nrfconnect/sdk-zephyr,"
## Origin

Name of project hosting the original open source code
Provide a link to the source

## Purpose

Brief description of what this software does

## Mode of integration

Describe whether you'd like to integrate this external component in the main tree
or as a module, and why. If the mode of integration is a module, suggest a
repository name for the module

## Maintainership

List the person(s) that will be maintaining the integration of this external code
for the foreseeable future. Please use GitHub IDs to identify them. You can
choose to identify a single maintainer only or add collaborators as well

## Pull Request

Pull request (if any) with the actual implementation of the integration, be it
in the main tree or as a module (pointing to your own fork for now). Make sure
the PR is correctly labeled as ""DNM""

## Description

Long description that will help reviewers discuss suitability of the
component to solve the problem at hand (there may be a better options
available.)

What is its primary functionality (e.g., SQLLite is a lightweight
database)?

What problem are you trying to solve? (e.g., a state store is
required to maintain ...)

Why is this the right component to solve it (e.g., SQLite is small,
easy to use, and has a very liberal license.)

## Dependencies

What other components does this package depend on?

Will the Zephyr project have a direct dependency on the component, or
will it be included via an abstraction layer with this component as a
replaceable implementation?

## Revision

Version or SHA you would like to integrate initially

## License

Please use an SPDX identifier (<|URL|>), such as
``BSD-3-Clause``

",No,,,,,,
caijinglong/flutter_ijkplayer,"
Describe your needs

If possible, add prototypes / designs and other supporting documents to help others understand your needs.
",Yes,,,,,,
kubernetes-simulator/simulator,"
**Describe the bug**
A clear and concise description of what the bug is, when it is seen etc

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. command run '....'
3. scenario selected '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Environment (please complete the following information):**
- OS: [e.g. Linux(Fedora)]
- Docker: [version]
- Version of <|Repo_Name|>[e.g. master, release number]

**Additional context (optional)**
Add any other context about the problem here.
",No,,,,,,
baseflow/flutter-permission-handler,"
## 🐛 Bug Report

<!--- Summary description of the bug --->

### Expected behavior

### Reproduction steps

### Configuration

**Version:** 1.x

**Platform:**
- [ ] :iphone: iOS
- [ ] :robot: Android
",Yes,,,,,,
buddyforms/buddyforms,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Environment details (please complete the following information):**
- OS: [e.g. Windows]
- PHP version: [e.g. 7.0.2]
- <|Repo_Name|> plugin version: [e.g. 2.4.0]
- Is <|Repo_Name|> Pro: [e.g. true|false]
- Related plugin (version):
- Woocommerce (3.0.0)

**Additional context**
Add any other context about the problem here.

**Support**
If applicable, a link to the helpscout ticket.
",Yes,,,,,,
spacecowboy/notepad,"
**Please describe the problem and how to reproduce it:**

...

**Checklist**

- [ ] Consulted [<|URL|>]
- [ ] Power management: battery optimization is disabled for OpenTracks

**Technical information**

- Device: [e.g. Nexus 7 (2013)]
- OS: [e.g. LineageOS 15.1]
- app version: [e.g. v3.2.4]
- app commit id (only for nightly builds): [e.g. 4b333bb]
",No,,,,,,
0x7c13/notepads,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior.

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. Windows 10 1809 17763.593]
- Version [e.g. v0.9.3.0]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
immense/remotely,"
<!--
PLEASE READ:

Thank you for your interest in <|Repo_Name|>.  Please understand that <|Repo_Name|> is a hobby project that I develop in between working full time and raising a family.

As such, the time I can devote toward the project is very limited, and I simply don't have the availability to help with issues related to hosting or configuration, or ones that aren't specifically related to the application code.

Your bug must meet the following requirements, or else it will be closed.  For issues that don't meet these requirements, please reach out to the community on the official subreddit (<|URL|>) or in the Discussion areas on GitHub.

Requirements:
- The bug must be related specifically to application code (e.g. not related to hosting, reverse proxy configuration, etc.).

- It must be immediately reproducible, either in a debug environment or on <|URL|>.  (This doesn't apply to bugs that are clearly code-related.)

- Repro steps must be included.  The more information, the better.  Pretend you're getting a support request from one of your clients, and think about the kinds of details you want them to include.

- <|Repo_Name|> does not support localization.  If the bug is related to language or regional settings, there is likely little I can do.

Again, thank you for your interest in the project, and thank you for your understanding.
-->

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**<|Repo_Name|> Version**
Server (can be found on about page):
Agent (can be found in device card):

**Expected Behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional Context**
Add any other context about the problem here.
",No,,,,,,
sagiegurari/duckscript,"
### Feature Description
<!-- A clear description of the feature request. -->

### Describe The Solution You'd Like
<!-- A clear and concise description of what you want to happen. -->

### Code Sample

```rust
<|Code|>
```
",No,,,,,,
ql-win/quicklook,"
*For all's convenience, please use English to fill this issue.*

*Please search within existing issues before the submission. Has this issue already been reported?*

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Desktop (please complete the following information):**
- OS Version: [e.g. Windows 10 1803]
- <|Repo_Name|> Version: [e.g. 0.3.3 from Windows Store]

**Screenshots and Exception Log**
If applicable, add screenshots and logs to help explain your problem. The log file is located in [one of several locations](<|URL|>).
",No,,,,,,
liferay/liferay-frontend-projects,"
> 👀 Please check the [troubleshooting guide](<|URL|>) before reporting anything. It contains important information on how to fix or diagnose errors.

### Issue type (mark with `x`)

-   [ ] :thinking: Question
-   [ ] :bug: Bug report
-   [ ] :gift: Feature request
-   [ ] :woman_shrugging: Other

### Description

**Desired behavior:**

**Current behavior:**

**Repro instructions (if applicable):**

**Other information (environment, versions etc):**
",No,,,,,,
spacingbat3/webcord,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",No,,,,,,
miurahr/aqtinstall,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",No,,,,,,
epam/ketcher,"
**Steps to Reproduce**
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'

**Actual behavior**
A clear and concise description of what the bug is.

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**<|Repo_Name|> version** [e.g. v2.4.2].
To determine it, hover over the header of the <|Repo_Name|> tab in a browser.

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
extendedxmlserializer/home,"
<!--
Thank you for reporting a problem.  Before you do so, please ensure you've visited known issues:
<|URL|>

Is your problem related to the classic XmlSerializer?  Please view our wiki for more details around this scenario:
<|URL|>
-->
",No,,,,,,
pinpoint-apm/pinpoint,"
#### Prerequisites
Please check the [FAQ](<|URL|>), and search existing [issues](<|URL|>) for similar questions before creating a new issue.**YOU MAY DELETE THIS PREREQUISITES SECTION.**

- [ ] I have checked the [FAQ](<|URL|>), and [issues](<|URL|>) and found no answer.

<!--
Please be as detailed as possible so that we can help answer your question as quickly as possible.
-->
",Yes,,,,,,
tencent/tendis,"
## Description
<!--- Provide a general summary of the issue in the Title above -->

## Expected Behavior
<!--- tell us how it should work -->

## Current Behavior
<!--- explain the difference from expected behavior -->

## Possible Solution
<!--- Not obligatory, but suggest a fix/reason for the feature -->
<!--- or ideas how to implement the addition or change -->

## Context
<!--- How has this issue affected you? What are you trying to accomplish? -->
",No,,,,,,
fusion-power-plant-framework/bluemira,"
<!-- Before requesting a new feature, please check the Issues to see if your idea is already being discussed. -->

## Description of issue / requirement to address

<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

## Proposed solution

<!-- A clear and concise description of what you want to happen. -->

## Alternative solutions

<!-- A clear and concise description of any alternative solutions or features you've considered. -->

## Additional context

<!-- Add any other context or screenshots about the feature request here. -->
",No,,,,,,
lnp2pbot/bot,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
datadog/dd-trace-go,"
<!--
Describe your desired feature below. Include any examples how you'd like to use the feature.
We also welcome you to let [Datadog support](<|URL|>) know of any feature requests as they may be able to provide work-arounds for specific use-cases or increase the priority of a feature request.
-->
",Yes,,,,,,
sonia-corporation/stale,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
ysurac/openmptcprouter,"<!--- Use this template only for general question, not related to an <|Repo_Name|> install -->
",Yes,,,,,,
axa-group/nlp.js,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
alefragnani/vscode-numbered-bookmarks,"
<!-- Please take some time to read the README. It has a lot of information and your question could be already answered there. -->

<!-- Describe what you would like to know. -->
",No,,,,,,
flutter-webrtc/flutter-webrtc,"
**Is your feature request related to a problem? Please describe.**

**Describe the solution you'd like**

**Describe alternatives you've considered**

**Additional context**
",No,,,,,,
webankfintech/weevent,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",No,,,,,,
chrysn/aiocoap,"
<!--
Please include the output of `python3 -m <|Repo_Name|>.cli.defaults` in your report,
run in the environment in which you experienced the issues.
-->
",No,,,,,,
porchetta-industries/crackmapexec,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**<|Repo_Name|> info**
- OS: [e.g. Kali]
- Version of CME [e.g. v5.0.2]
- Installed from apt or using latest release ? Please try with latest release before openning an issue

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
georgh93/minepacks,"
<!-- bug reporting guide
Don't put anything inside this block, as it won't be included in the issue.
Please make sure to follow the following guidelines:
1.  When linking files, do not copy paste them into the post! Copy and paste any logs into <|URL|> , then paste a link to them in the relevant area.
2.  If you are reporting a performance issue, please include a link to a timings and/or profiler report.
3.  Check whether it has already been reported. You can search the issue tracker to see if the bug has already been reported at <|URL|>
4.  Make sure not to write between the arrows, as anything there will be hidden.  -->

### Information
**Environment information**
*Plugin + server version info*:
<!-- Please provide the full output of the ""/backpack version"" command. Please do not just put ""latest"" as a version. -->
```
<|Code|>
```

*Online mode*: <!-- Replace this with ""yes"" if your server is running in online mode, with ""no"" if your server is running in offline mode (if you are using BungeeCord please use your BungeeCord online mode!) -->

*BungeeCord*: <!-- Replace this with ""yes"" you use BungeeCord, with ""no"" if not -->

**Server/crash log**
<!-- If you see an error message in the console/log please provide it. Please provide at least 10 lines befor and after the error! If you like to share the full log file please use <|URL|>
The log can contain user related information like ip, name or uuid, so please replace them if they are not necessary. -->
```
<|Code|>
```

**Plugin config (optional)**
<!-- Some problems are depending on the used configuration. To enable us to help you faster you can provide us with some details about your config or the full config.yml file (please use <|URL|> to upload your config.yml, make sure to remove confidential informations like database passwords!) -->
```
<|Code|>
```

### Details
**Description**
<!-- Replace this with a brief summary of the bug. -->

**Steps to reproduce**
<!-- Replace this with what exactly you did to cause the bug. -->

**Expected behavior**
<!-- Replace this with what you expect to happen. -->

**Other information** (e.g. detailed explanation, related issues, suggestions how to fix, links for us to have context, screenshots, etc.)
<!-- Replace this with any additional information, if necessary. -->

",No,,,,,,
pwn20wndstuff/undecimus,"
**Describe the bug**
A clear and concise description of what the bug is and what you expected to happen.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Device (please complete the following information):**
- iOS Version:
- iOS Device:
- unc0ver Version:

**Place an ""x"" between the brackets if true:**
- [ ] this is a bug others will be able to reproduce
- [ ] this issue is present with all tweaks uninstalled(except for default packages) or disabled
- [ ] this issue is present after a rootfs restore
- [ ] this issue is present on the latest version of unc0ver

**Logs**
If applicable, add logs or error messages here.
",Yes,,,,,,
lbalab/lba2remake,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",No,,,,,,
talend/ui,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
azure/industrial-iot,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
wildaid/o-fish-web,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
commonmark/commonmark-java,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen. Include source code if possible.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context about the feature request here.
",No,,,,,,
tunapanda/wikonnect,"
### Describe the user story:
<!-- eg Admin should be able to delete single or multiple users so that it is easy to manage users.  -->

### Tasks (where applicable)
<!-- Please describe back-end tasks needed to accomplished this-->
- [ ]  eg. Fetch users end point

### Tests (where applicable)
<!-- Please describe tests-->
- [ ]  eg. Passing Tests for x

### Acceptance Criteria
<!-- Detailed checklist of acceptance criteria  -->
- [ ] eg end-point  "" api/users"" should not list users  for non-admin users
- [ ] eg end-point  "" api/users"" should list users for admin users

### Screenshots where applicable
",No,,,,,,
algolia/algoliasearch-client-swift,"
<!--
Thanks for participating in this project! We will try to answer as soon as possible 🙏
-->

**Is your feature request related to a problem? Please describe 🙏**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like 🤔**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered ✨**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
orlandos-nl/mongokitten,"

",No,,,,,,
danielhiversen/pyxiaomigateway,"
<!-- READ THIS FIRST:
Before you start filling the report, check if someone has already reported this bug: <|URL|>
-->

**Home Assistant release with the issue (if applicable):**
<!--
Make sure you are running the latest version before reporting an issue: <|URL|>
-->

**Last working Home Assistant release (if known):**


**<|Repo_Name|> library version (if known):**


**Operating environment (<|URL|>):**


**Traceback (if applicable):**
```

```

**Description of the bug:**
",Yes,,,,,,
doccano/doccano,"
<!-- Before submitting an issue, make sure to check the docs and closed issues and FAQ to see if any of the solutions work for you. <|URL|> -->

How to reproduce the problem
---------
<!-- Include the details of how the problem occurred. Which option did you choose to install <|Repo_Name|>? Did you come across an error? What else did you try? -->

```bash
<|Code|>
```

Your Environment
---------
<!-- Include details of your environment.-->
*   Operating System:
*   Python Version Used:
*   When you install <|Repo_Name|>:
*   How did you install <|Repo_Name|> (Heroku button etc):
",No,,,,,,
corona-warn-app/cwa-website,"<!--
Thanks for contributing to the project 🙌 ❤️

Before opening a new issue, please make sure that we do not have any duplicates already open. You can ensure this by searching the issue list for this repository. If there is a duplicate, please close your issue and add a comment to the existing issue instead. Also, please, have a look at our FAQs and existing questions before opening a new question.
-->
",No,,,,,,
embarkstudios/rust-gpu,"
<!-- Thank you for filing a bug report! 🐛 -->

### Expected Behaviour
<!-- Please describe what you expected to happen. -->

### Example & Steps To Reproduce
<!--
Describe what actually happened, including any relevant examples (smaller
the better), error messages, or the relevant SPIR-V binary.
-->

1.
2.
3.

## System Info
<!--
Helpful commands:
- Rustc version: `rustc -V`
- SPIR-V version: `spirv-val --version`
-->

- Rust: [e.g. 1.49.0-nightly (1eaadebb3 2020-10-21)]
- OS: [e.g. macOS 10.15.7]
- GPU: [e.g. Intel(R) UHD Graphics 630]
- SPIR-V: [e.g. v2020.3 unknown hash, 2020-06-12T01:06:18]


## Backtrace
<!-- If relevant, please include a backtrace of the error below. -->

<details><summary>Backtrace</summary>
<p>

```
<|Code|>
```

</p>
</details>
",Yes,,,,,,
complat/chemotion_eln,"
- I am an ELNer
- I am a developer
- I am a system/ELN admin

# Expected Behavior

Please describe the behavior you are expecting

# Current Behavior

What is the current behavior?

# Failure Information

Please help provide information about the failure if this is a bug. If it is not a bug, please remove the rest of this template.

## Steps to Reproduce

Please provide detailed steps for reproducing the issue.

1. step 1
2. step 2
3. you get it...

## Context

Please provide any relevant information about your setup. This is important in case the issue is not reproducible except for under certain conditions.

- OS: [e.g. iOS]
- Chrome Browser
- Firefox Browser
- ELN version, or branch, or commit


## Failure Logs / Screenshots

Include any relevant log snippets or files here.
",Yes,,,,,,
blindsidenetworks/scalelite,"
<!--
The most important part here for us is to understand your problem. So, please give us the more details you can. We don't want to be guessing, and you want to have a response soon, so let's make good use of the time and not spend days just gathering the information we need for the diagnostic.
-->

**Deployment (required):**
1. Deployment: <!--It is based on the default `systemd` deployment, the alternate `docker-compose` one, a custom one of your own `k8s`, `ecs`, etc? -->
2. Versions: <!-- Versions installed of each component used. -->
3. Tools used for reproducing the issue: <!-- For bugs related to the API consider using api-mate or specify the external application used -->


**Describe the problem (required):**
<!--
A clear and concise description of what the problem is. Ex. When I do this, this is happening [...]
-->

**To Reproduce (optional):**
<!--
A clear and concise description of how to reproduce the bug. If you problem is related to the API, give us the step to reproduce it using api-mate.
-->


**Other references (optional):***
<!--
If it is related to an integration, also specify the integration and the version of the plugin or component used.
-->

**Logs (may be required):**
<!--
Include the logs from the component that is failing.
-->


*NOTE: Request that do not provide the minimal information required won't be taken in consideration and will be immediately closed.*
",No,,,,,,
fugiman/google-meet-grid-view,"
_Before opening an issue, please check the existing open issues to see if somebody has already reported it! If something is horribly wrong, like all videos showing up in a single column, chances are somebody already reported it. Please reply in that issue instead._

**Describe what is broken**
A clear and concise description of what isn't working.

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Software used:**
- OS [e.g. Windows 10]:
- Browser [e.g. Chrome, Firefox]:
- Version [e.g. 22]:
- Extension [e.g. Official Chrome Extension, Tampermonkey]:
- Grid View Version [e.g. 1.19, 1.23]:

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
moleculerjs/moleculer,"
## :stop_sign: Do you want to ask a question ?

Please head to the [Discord chat](<|URL|>)

## Is your feature request related to a problem? Please describe.
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

## Describe the solution you'd like
<!-- A clear and concise description of what you want to happen. -->

## Describe alternatives you've considered
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

## Additional context
<!-- Add any other context or screenshots about the feature request here. -->
",No,,,,,,
rdmtc/node-red-contrib-sun-position,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
therookiecoder/ferium,"
## The problem
Is your feature request related to a problem? Please describe it.

## My solutions
Describe any number of solutions you've thought of.
",Yes,,,,,,
schweizerischebundesbahnen/scion-workbench,"
## Describe the bug
A clear and concise description of what the bug is.

## To Reproduce
Steps to reproduce the behavior:

1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

## Expected behavior
A clear and concise description of what you expected to happen.

## Screenshots
If applicable, add screenshots to help explain your problem.

## Environment
Please complete the following information:

- SCION Workbench version: [e.g. 11.0.0-beta.1]
- SCION Workbench Client version: [e.g. 1.0.0-beta.1]
- Angular version: [e.g. 11.0.0]
- Browser: [e.g. Chrome 83, Firefox 77, Edge 83, Safari 10]
- OS: [e.g. Windows 10, iOS 13.5.1]
- Device: [e.g. Desktop, Smartphone]

## Additional context
Add any other context about the problem here.
",Yes,,,,,,
